"","x_location","y_location"
"A1BG-AS1",-454.413569936049,-2016.67178149456
"A2M",-980.413569936049,-2329.67178149456
"A4GALT",-694.413569936049,1412.32821850544
"AAAS",3375.58643006395,-2740.67178149456
"AAK1",2160.58643006395,-2908.67178149456
"AAMDC",561.586430063951,-3440.67178149456
"AAR2",-1817.41356993605,2213.32821850544
"AARS2",-1670.41356993605,-477.671781494555
"AASDH",1233.58643006395,-3125.67178149456
"AATBC",2199.58643006395,-476.671781494555
"AATF",-776.413569936049,1578.32821850544
"AATK",2666.58643006395,2069.32821850544
"ABAT",2052.58643006395,-944.671781494555
"ABCA1",-2602.41356993605,-876.671781494555
"ABCA13",1504.58643006395,1931.32821850544
"ABCA2",1099.58643006395,-3353.67178149456
"ABCA3",141.586430063951,-3321.67178149456
"ABCA6",-3039.41356993605,-1140.67178149456
"ABCA7",-149.413569936049,-2121.67178149456
"ABCB5",-1872.41356993605,3903.32821850544
"ABCC1",-2194.41356993605,2483.32821850544
"ABCC3",2908.58643006395,-2435.67178149456
"ABCC5",2525.58643006395,-1428.67178149456
"ABCD1",-1033.41356993605,-1272.67178149456
"ABCD2",-1741.41356993605,-2749.67178149456
"ABCD3",2066.58643006395,-800.671781494555
"ABCE1",-1516.41356993605,3047.32821850544
"ABCF1",-1406.41356993605,1703.32821850544
"ABCF2",-320.413569936049,2241.32821850544
"ABCG1",-623.413569936049,-1542.67178149456
"ABHD10",1890.58643006395,-1196.67178149456
"ABHD11",2055.58643006395,-1574.67178149456
"ABHD12",872.586430063951,-2399.67178149456
"ABHD15",1783.58643006395,-3256.67178149456
"ABHD17C",-2250.41356993605,917.328218505445
"ABHD18",585.586430063951,-1360.67178149456
"ABHD2",2197.58643006395,-224.671781494555
"ABHD3",1151.58643006395,-2142.67178149456
"ABHD4",2754.58643006395,484.328218505445
"ABHD5",2055.58643006395,451.328218505445
"ABHD6",1768.58643006395,-1750.67178149456
"ABHD8",2743.58643006395,-2338.67178149456
"ABI1",-2403.41356993605,1103.32821850544
"ABI2",4563.58643006395,1449.32821850544
"ABI3",858.586430063951,-1850.67178149456
"ABL1",1650.58643006395,-962.671781494555
"ABL2",-1378.41356993605,561.328218505445
"ABLIM1",-1423.41356993605,-1292.67178149456
"ABRAXAS1",347.586430063951,-1643.67178149456
"ABRAXAS2",-2867.41356993605,529.328218505445
"ABTB2",-2566.41356993605,401.328218505445
"AC002091.1",-2640.41356993605,3192.32821850544
"AC002091.2",-2720.41356993605,3520.32821850544
"AC002310.1",2234.58643006395,-3974.67178149456
"AC002316.1",1201.58643006395,-1120.67178149456
"AC002451.1",2255.58643006395,-1232.67178149456
"AC002456.1",-2976.41356993605,3319.32821850544
