Ensembl	Gene	"Gene description"	"Biological process"	"Molecular function"	Evidence
ENSG00000121410	A1BG	"Alpha-1-B glycoprotein"			"Evidence at protein level"
ENSG00000175899	A2M	Alpha-2-macroglobulin		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000166535	A2ML1	"Alpha-2-macroglobulin like 1"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000197953	AADACL2	"Arylacetamide deacetylase like 2"		Hydrolase	"Evidence at transcript level"
ENSG00000168792	ABHD15	"Abhydrolase domain containing 15"		Hydrolase	"Evidence at protein level"
ENSG00000154175	ABI3BP	"ABI family member 3 binding protein"			"Evidence at protein level"
ENSG00000175164	ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"			"Evidence at transcript level"
ENSG00000267335	AC008687.1				"Evidence at transcript level"
ENSG00000275063	AC233755.1	"Immunoglobulin heavy variable 4-38-2 "	"Adaptive immunity, Immunity"		"Evidence at protein level"
ENSG00000157766	ACAN	Aggrecan			"Evidence at protein level"
ENSG00000159640	ACE	"Angiotensin I converting enzyme"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000130234	ACE2	"Angiotensin I converting enzyme 2"	"Host-virus interaction"	"Carboxypeptidase, Host cell receptor for virus entry, Hydrolase, Metalloprotease, Protease, Receptor"	"Evidence at protein level"
ENSG00000183760	ACP7	"Acid phosphatase 7, tartrate resistant (putative)"		Hydrolase	"Evidence at protein level"
ENSG00000014257	ACPP	"Acid phosphatase, prostate"		Hydrolase	"Evidence at protein level"
ENSG00000100312	ACR	Acrosin		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000093072	ADA2	"Adenosine deaminase 2"		"Heparin-binding, Hydrolase"	"Evidence at protein level"
ENSG00000148848	ADAM12	"ADAM metallopeptidase domain 12"	"Cell adhesion"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000042980	ADAM28	"ADAM metallopeptidase domain 28"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000168615	ADAM9	"ADAM metallopeptidase domain 9"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000134028	ADAMDEC1	"ADAM like decysin 1"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000154734	ADAMTS1	"ADAM metallopeptidase with thrombospondin type 1 motif 1"		"Heparin-binding, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000142303	ADAMTS10	"ADAM metallopeptidase with thrombospondin type 1 motif 10"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000151388	ADAMTS12	"ADAM metallopeptidase with thrombospondin type 1 motif 12"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000160323	ADAMTS13	"ADAM metallopeptidase with thrombospondin type 1 motif 13"	"Blood coagulation, Hemostasis"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000138316	ADAMTS14	"ADAM metallopeptidase with thrombospondin type 1 motif 14"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000166106	ADAMTS15	"ADAM metallopeptidase with thrombospondin type 1 motif 15"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000145536	ADAMTS16	"ADAM metallopeptidase with thrombospondin type 1 motif 16"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000140470	ADAMTS17	"ADAM metallopeptidase with thrombospondin type 1 motif 17"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000140873	ADAMTS18	"ADAM metallopeptidase with thrombospondin type 1 motif 18"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000145808	ADAMTS19	"ADAM metallopeptidase with thrombospondin type 1 motif 19"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000087116	ADAMTS2	"ADAM metallopeptidase with thrombospondin type 1 motif 2"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000173157	ADAMTS20	"ADAM metallopeptidase with thrombospondin type 1 motif 20"		"Hydrolase, Metalloprotease, Protease"	"Evidence at transcript level"
ENSG00000156140	ADAMTS3	"ADAM metallopeptidase with thrombospondin type 1 motif 3"		"Heparin-binding, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000158859	ADAMTS4	"ADAM metallopeptidase with thrombospondin type 1 motif 4"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000154736	ADAMTS5	"ADAM metallopeptidase with thrombospondin type 1 motif 5"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000049192	ADAMTS6	"ADAM metallopeptidase with thrombospondin type 1 motif 6"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000136378	ADAMTS7	"ADAM metallopeptidase with thrombospondin type 1 motif 7"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000134917	ADAMTS8	"ADAM metallopeptidase with thrombospondin type 1 motif 8"		"Heparin-binding, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000163638	ADAMTS9	"ADAM metallopeptidase with thrombospondin type 1 motif 9"	"ER-Golgi transport, Protein transport, Transport"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000178031	ADAMTSL1	"ADAMTS like 1"		Hydrolase	"Evidence at protein level"
ENSG00000197859	ADAMTSL2	"ADAMTS like 2"			"Evidence at protein level"
ENSG00000156218	ADAMTSL3	"ADAMTS like 3"			"Evidence at protein level"
ENSG00000143382	ADAMTSL4	"ADAMTS like 4"	Apoptosis		"Evidence at protein level"
ENSG00000185761	ADAMTSL5	"ADAMTS like 5"			"Evidence at protein level"
ENSG00000063761	ADCK1	"AarF domain containing kinase 1"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ENSG00000141433	ADCYAP1	"Adenylate cyclase activating polypeptide 1"	Neurogenesis	Hormone	"Evidence at protein level"
ENSG00000181790	ADGRB1	"Adhesion G protein-coupled receptor B1"	"Immunity, Innate immunity, Myogenesis, Neurogenesis, Phagocytosis"	"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ENSG00000131355	ADGRE3	"Adhesion G protein-coupled receptor E3"		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ENSG00000123146	ADGRE5	"Adhesion G protein-coupled receptor E5"	"Cell adhesion"	"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ENSG00000153292	ADGRF1	"Adhesion G protein-coupled receptor F1"		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ENSG00000205336	ADGRG1	"Adhesion G protein-coupled receptor G1"	"Cell adhesion, Differentiation, Neurogenesis"	"Developmental protein, G-protein coupled receptor, Heparin-binding, Receptor, Transducer"	"Evidence at protein level"
ENSG00000181092	ADIPOQ	"Adiponectin, C1Q and collagen domain containing"		Hormone	"Evidence at protein level"
ENSG00000148926	ADM	Adrenomedullin		Hormone	"Evidence at protein level"
ENSG00000128165	ADM2	"Adrenomedullin 2"		Hormone	"Evidence at transcript level"
ENSG00000224420	ADM5	"Adrenomedullin 5 (putative)"			"Evidence at transcript level"
ENSG00000106624	AEBP1	"AE binding protein 1"	"Transcription, Transcription regulation"	"Calmodulin-binding, DNA-binding, Repressor"	"Evidence at protein level"
ENSG00000079557	AFM	Afamin	"Protein transport, Transport"		"Evidence at protein level"
ENSG00000081051	AFP	"Alpha fetoprotein"			"Evidence at protein level"
ENSG00000204305	AGER	"Advanced glycosylation end-product specific receptor"	"Inflammatory response"		"Evidence at protein level"
ENSG00000164252	AGGF1	"Angiogenic factor with G-patch and FHA domains 1"	"Angiogenesis, Differentiation"	"Developmental protein"	"Evidence at protein level"
ENSG00000188157	AGRN	Agrin	Differentiation	"Developmental protein"	"Evidence at protein level"
ENSG00000159723	AGRP	"Agouti related neuropeptide"			"Evidence at protein level"
ENSG00000135744	AGT	Angiotensinogen		"Vasoactive, Vasoconstrictor"	"Evidence at protein level"
